unidade;ano;mes;setor_centro_custo;leito_dia;leito_operacional_sem_extra
CHPB;2019,0;1,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;930,0;930,0
CHPB;2019,0;1,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;186,0;186,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;248,0;248,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;71,0;71,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 3;248,0;248,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;744,0;744,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;527,0;527,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;616,0;616,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;605,0;605,0
CHPB;2019,0;2,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;840,0;840,0
CHPB;2019,0;2,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;168,0;168,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;224,0;224,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;81,0;81,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 3;196,0;196,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;672,0;672,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;476,0;476,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;532,0;532,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;532,0;532,0
CHPB;2019,0;3,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;930,0;930,0
CHPB;2019,0;3,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;186,0;186,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;248,0;248,0
